n,theta_rad,theta_deg,axis,target_qubit,error_position,average_success,average_std_error_if_sampled,shots_reference
1,0.05235987755982989,3.0000000000000004,Y,0,no_error,0.9999999999999997,4.390296719884794e-10,1024
1,0.05235987755982989,3.0000000000000004,Z,0,E1_before_H,0.9999999999999997,4.390296719884794e-10,1024
1,0.05235987755982989,3.0000000000000004,Z,0,E2_after_first_H,0.9993147673772865,0.0008177493162962413,1024
1,0.05235987755982989,3.0000000000000004,Z,0,E3_after_oracle,0.9993147673772865,0.0008177493162962413,1024
1,0.05235987755982989,3.0000000000000004,Z,0,E4_after_final_H,0.9999999999999997,4.390296719884794e-10,1024
1,0.05235987755982989,3.0000000000000004,Z,0,no_error,0.9999999999999997,4.390296719884794e-10,1024
1,0.06981317007977318,4.0,X,0,E1_before_H,0.9987820251299118,0.0010899449022521346,1024
1,0.06981317007977318,4.0,X,0,E2_after_first_H,0.9999999999999997,4.390296719884794e-10,1024
1,0.06981317007977318,4.0,X,0,E3_after_oracle,0.9999999999999997,4.390296719884794e-10,1024
1,0.06981317007977318,4.0,X,0,E4_after_final_H,0.9987820251299118,0.0010899449022521346,1024
1,0.06981317007977318,4.0,X,0,no_error,0.9999999999999997,4.390296719884794e-10,1024
1,0.06981317007977318,4.0,Y,0,E1_before_H,0.9987820251299119,0.001089944902252035,1024
1,0.06981317007977318,4.0,Y,0,E2_after_first_H,0.9987820251299119,0.001089944902252035,1024
1,0.06981317007977318,4.0,Y,0,E3_after_oracle,0.9987820251299119,0.001089944902252035,1024
1,0.06981317007977318,4.0,Y,0,E4_after_final_H,0.9987820251299118,0.0010899449022521346,1024
1,0.06981317007977318,4.0,Y,0,no_error,0.9999999999999997,4.390296719884794e-10,1024
1,0.06981317007977318,4.0,Z,0,E1_before_H,0.9999999999999997,4.390296719884794e-10,1024
1,0.06981317007977318,4.0,Z,0,E2_after_first_H,0.9987820251299118,0.0010899449022521346,1024
1,0.06981317007977318,4.0,Z,0,E3_after_oracle,0.9987820251299118,0.0010899449022521346,1024
1,0.06981317007977318,4.0,Z,0,E4_after_final_H,0.9999999999999997,4.390296719884794e-10,1024
1,0.06981317007977318,4.0,Z,0,no_error,0.9999999999999997,4.390296719884794e-10,1024
1,0.08726646259971647,5.0,X,0,E1_before_H,0.9980973490458723,0.0013618084804322887,1024
1,0.08726646259971647,5.0,X,0,E2_after_first_H,0.9999999999999994,5.807816651298881e-10,1024
1,0.08726646259971647,5.0,X,0,E3_after_oracle,0.9999999999999994,5.807816651298881e-10,1024
1,0.08726646259971647,5.0,X,0,E4_after_final_H,0.9980973490458723,0.0013618084804322887,1024
1,0.08726646259971647,5.0,X,0,no_error,0.9999999999999997,4.390296719884794e-10,1024
1,0.08726646259971647,5.0,Y,0,E1_before_H,0.9980973490458723,0.0013618084804322887,1024
1,0.08726646259971647,5.0,Y,0,E2_after_first_H,0.9980973490458723,0.0013618084804322887,1024
1,0.08726646259971647,5.0,Y,0,E3_after_oracle,0.9980973490458723,0.0013618084804322887,1024
1,0.08726646259971647,5.0,Y,0,E4_after_final_H,0.9980973490458723,0.0013618084804322887,1024
1,0.08726646259971647,5.0,Y,0,no_error,0.9999999999999997,4.390296719884794e-10,1024
1,0.08726646259971647,5.0,Z,0,E1_before_H,0.9999999999999994,5.807816651298881e-10,1024
1,0.08726646259971647,5.0,Z,0,E2_after_first_H,0.9980973490458723,0.0013618084804322887,1024
1,0.08726646259971647,5.0,Z,0,E3_after_oracle,0.9980973490458723,0.0013618084804322887,1024
1,0.08726646259971647,5.0,Z,0,E4_after_final_H,0.9999999999999994,5.807816651298881e-10,1024
1,0.08726646259971647,5.0,Z,0,no_error,0.9999999999999997,4.390296719884794e-10,1024
1,0.10471975511965978,6.000000000000001,X,0,E1_before_H,0.9972609476841363,0.0016332572385572026,1024
1,0.10471975511965978,6.000000000000001,X,0,E2_after_first_H,0.9999999999999999,3.104408582051595e-10,1024
1,0.10471975511965978,6.000000000000001,X,0,E3_after_oracle,0.9999999999999999,3.104408582051595e-10,1024
1,0.10471975511965978,6.000000000000001,X,0,E4_after_final_H,0.9972609476841363,0.0016332572385572026,1024
1,0.10471975511965978,6.000000000000001,X,0,no_error,0.9999999999999997,4.390296719884794e-10,1024
1,0.10471975511965978,6.000000000000001,Y,0,E1_before_H,0.997260947684136,0.0016332572385572685,1024
