n,theta_rad,theta_deg,axis,target_qubit,error_position,P0_constant,P0_balanced,success_constant,success_balanced,average_success,shots
1,2.2689280275926285,130.0,Z,0,E4_after_final_H,1.0,0.0,1.0,1.0,1.0,1024
1,2.443460952792061,140.0,X,0,no_error,1.0,0.0,1.0,1.0,1.0,1024
1,2.443460952792061,140.0,X,0,E1_before_H,0.1220703125,0.8818359375,0.1220703125,0.1181640625,0.1201171875,1024
1,2.443460952792061,140.0,X,0,E2_after_first_H,1.0,0.0,1.0,1.0,1.0,1024
1,2.443460952792061,140.0,X,0,E3_after_oracle,1.0,0.0,1.0,1.0,1.0,1024
1,2.443460952792061,140.0,X,0,E4_after_final_H,0.1279296875,0.8740234375,0.1279296875,0.1259765625,0.126953125,1024
1,2.443460952792061,140.0,Y,0,no_error,1.0,0.0,1.0,1.0,1.0,1024
1,2.443460952792061,140.0,Y,0,E1_before_H,0.1025390625,0.8828125,0.1025390625,0.1171875,0.10986328125,1024
1,2.443460952792061,140.0,Y,0,E2_after_first_H,0.11328125,0.8994140625,0.11328125,0.1005859375,0.10693359375,1024
1,2.443460952792061,140.0,Y,0,E3_after_oracle,0.1142578125,0.8720703125,0.1142578125,0.1279296875,0.12109375,1024
1,2.443460952792061,140.0,Y,0,E4_after_final_H,0.1171875,0.884765625,0.1171875,0.115234375,0.1162109375,1024
1,2.443460952792061,140.0,Z,0,no_error,1.0,0.0,1.0,1.0,1.0,1024
1,2.443460952792061,140.0,Z,0,E1_before_H,1.0,0.0,1.0,1.0,1.0,1024
1,2.443460952792061,140.0,Z,0,E2_after_first_H,0.111328125,0.8837890625,0.111328125,0.1162109375,0.11376953125,1024
1,2.443460952792061,140.0,Z,0,E3_after_oracle,0.1220703125,0.890625,0.1220703125,0.109375,0.11572265625,1024
