n,theta_rad,theta_deg,axis,target_qubit,function,error_position,P0,success_probability,std_error,shots
1,0.17453292519943295,10.0,Y,0,constant_0,E2_after_first_H,0.9970703125,0.9970703125,0.0016889763308131972,1024
1,0.17453292519943295,10.0,Y,0,constant_0,E3_after_oracle,0.9931640625,0.9931640625,0.002574895222856183,1024
1,0.17453292519943295,10.0,Y,0,constant_0,E4_after_final_H,0.9931640625,0.9931640625,0.002574895222856183,1024
1,0.17453292519943295,10.0,Z,0,constant_0,no_error,1.0,1.0,0.0,1024
1,0.17453292519943295,10.0,Z,0,constant_0,E1_before_H,1.0,1.0,0.0,1024
1,0.17453292519943295,10.0,Z,0,constant_0,E2_after_first_H,0.9892578125,0.9892578125,0.0032214480360453243,1024
1,0.17453292519943295,10.0,Z,0,constant_0,E3_after_oracle,0.9951171875,0.9951171875,0.0021783224090262355,1024
1,0.17453292519943295,10.0,Z,0,constant_0,E4_after_final_H,1.0,1.0,0.0,1024
1,0.19198621771937624,11.0,X,0,constant_0,no_error,1.0,1.0,0.0,1024
1,0.19198621771937624,11.0,X,0,constant_0,E1_before_H,0.9951171875,0.9951171875,0.0021783224090262355,1024
1,0.19198621771937624,11.0,X,0,constant_0,E2_after_first_H,1.0,1.0,0.0,1024
1,0.19198621771937624,11.0,X,0,constant_0,E3_after_oracle,1.0,1.0,0.0,1024
1,0.19198621771937624,11.0,X,0,constant_0,E4_after_final_H,0.98828125,0.98828125,0.003363031570790017,1024
1,0.19198621771937624,11.0,Y,0,constant_0,no_error,1.0,1.0,0.0,1024
1,0.19198621771937624,11.0,Y,0,constant_0,E1_before_H,0.9931640625,0.9931640625,0.002574895222856183,1024
1,0.19198621771937624,11.0,Y,0,constant_0,E2_after_first_H,0.9912109375,0.9912109375,0.002916784482801634,1024
1,0.19198621771937624,11.0,Y,0,constant_0,E3_after_oracle,0.9931640625,0.9931640625,0.002574895222856183,1024
1,0.19198621771937624,11.0,Y,0,constant_0,E4_after_final_H,0.9921875,0.9921875,0.0027513251146446885,1024
1,0.19198621771937624,11.0,Z,0,constant_0,no_error,1.0,1.0,0.0,1024
1,0.19198621771937624,11.0,Z,0,constant_0,E1_before_H,1.0,1.0,0.0,1024
1,0.19198621771937624,11.0,Z,0,constant_0,E2_after_first_H,0.9892578125,0.9892578125,0.0032214480360453243,1024
1,0.19198621771937624,11.0,Z,0,constant_0,E3_after_oracle,0.9921875,0.9921875,0.0027513251146446885,1024
1,0.19198621771937624,11.0,Z,0,constant_0,E4_after_final_H,1.0,1.0,0.0,1024
1,0.20943951023931956,12.000000000000002,X,0,constant_0,no_error,1.0,1.0,0.0,1024
1,0.20943951023931956,12.000000000000002,X,0,constant_0,E1_before_H,0.986328125,0.986328125,0.003628898070360046,1024
1,0.20943951023931956,12.000000000000002,X,0,constant_0,E2_after_first_H,1.0,1.0,0.0,1024
1,0.20943951023931956,12.000000000000002,X,0,constant_0,E3_after_oracle,1.0,1.0,0.0,1024
1,0.20943951023931956,12.000000000000002,X,0,constant_0,E4_after_final_H,0.9853515625,0.9853515625,0.00375440636676496,1024
1,0.20943951023931956,12.000000000000002,Y,0,constant_0,no_error,1.0,1.0,0.0,1024
1,0.20943951023931956,12.000000000000002,Y,0,constant_0,E1_before_H,0.9951171875,0.9951171875,0.0021783224090262355,1024
1,0.20943951023931956,12.000000000000002,Y,0,constant_0,E2_after_first_H,0.990234375,0.990234375,0.003073045867962428,1024
1,0.20943951023931956,12.000000000000002,Y,0,constant_0,E3_after_oracle,0.9892578125,0.9892578125,0.0032214480360453243,1024
1,0.20943951023931956,12.000000000000002,Y,0,constant_0,E4_after_final_H,0.986328125,0.986328125,0.003628898070360046,1024
1,0.20943951023931956,12.000000000000002,Z,0,constant_0,no_error,1.0,1.0,0.0,1024
1,0.20943951023931956,12.000000000000002,Z,0,constant_0,E1_before_H,1.0,1.0,0.0,1024
1,0.20943951023931956,12.000000000000002,Z,0,constant_0,E2_after_first_H,0.9921875,0.9921875,0.0027513251146446885,1024
1,0.20943951023931956,12.000000000000002,Z,0,constant_0,E3_after_oracle,0.9931640625,0.9931640625,0.002574895222856183,1024
1,0.20943951023931956,12.000000000000002,Z,0,constant_0,E4_after_final_H,1.0,1.0,0.0,1024
1,0.22689280275926285,13.0,X,0,constant_0,no_error,1.0,1.0,0.0,1024
1,0.22689280275926285,13.0,X,0,constant_0,E1_before_H,0.98046875,0.98046875,0.004324460347636316,1024
1,0.22689280275926285,13.0,X,0,constant_0,E2_after_first_H,1.0,1.0,0.0,1024
1,0.22689280275926285,13.0,X,0,constant_0,E3_after_oracle,1.0,1.0,0.0,1024
1,0.22689280275926285,13.0,X,0,constant_0,E4_after_final_H,0.990234375,0.990234375,0.003073045867962428,1024
