n,theta_rad,theta_deg,axis,target_qubit,function,error_position,P0,success,shots
1,0.6981317007977318,40.0,X,0,balanced,E4_after_final_H,0.1083984375,0.8916015625,1024
1,0.6981317007977318,40.0,Y,0,constant_0,no_error,1.0,1.0,1024
1,0.6981317007977318,40.0,Y,0,constant_0,E1_before_H,0.8779296875,0.8779296875,1024
1,0.6981317007977318,40.0,Y,0,constant_0,E2_after_first_H,0.8828125,0.8828125,1024
1,0.6981317007977318,40.0,Y,0,constant_0,E3_after_oracle,0.8916015625,0.8916015625,1024
1,0.6981317007977318,40.0,Y,0,constant_0,E4_after_final_H,0.8876953125,0.8876953125,1024
1,0.6981317007977318,40.0,Y,0,constant_1,no_error,1.0,1.0,1024
1,0.6981317007977318,40.0,Y,0,constant_1,E1_before_H,0.888671875,0.888671875,1024
1,0.6981317007977318,40.0,Y,0,constant_1,E2_after_first_H,0.9052734375,0.9052734375,1024
1,0.6981317007977318,40.0,Y,0,constant_1,E3_after_oracle,0.890625,0.890625,1024
1,0.6981317007977318,40.0,Y,0,constant_1,E4_after_final_H,0.8916015625,0.8916015625,1024
1,0.6981317007977318,40.0,Y,0,balanced,no_error,0.0,1.0,1024
1,0.6981317007977318,40.0,Y,0,balanced,E1_before_H,0.1171875,0.8828125,1024
1,0.6981317007977318,40.0,Y,0,balanced,E2_after_first_H,0.1142578125,0.8857421875,1024
1,0.6981317007977318,40.0,Y,0,balanced,E3_after_oracle,0.1279296875,0.8720703125,1024
1,0.6981317007977318,40.0,Y,0,balanced,E4_after_final_H,0.140625,0.859375,1024
1,0.6981317007977318,40.0,Z,0,constant_0,no_error,1.0,1.0,1024
1,0.6981317007977318,40.0,Z,0,constant_0,E1_before_H,1.0,1.0,1024
1,0.6981317007977318,40.0,Z,0,constant_0,E2_after_first_H,0.87890625,0.87890625,1024
1,0.6981317007977318,40.0,Z,0,constant_0,E3_after_oracle,0.8935546875,0.8935546875,1024
1,0.6981317007977318,40.0,Z,0,constant_0,E4_after_final_H,1.0,1.0,1024
1,0.6981317007977318,40.0,Z,0,constant_1,no_error,1.0,1.0,1024
1,0.6981317007977318,40.0,Z,0,constant_1,E1_before_H,1.0,1.0,1024
1,0.6981317007977318,40.0,Z,0,constant_1,E2_after_first_H,0.884765625,0.884765625,1024
1,0.6981317007977318,40.0,Z,0,constant_1,E3_after_oracle,0.884765625,0.884765625,1024
1,0.6981317007977318,40.0,Z,0,constant_1,E4_after_final_H,1.0,1.0,1024
1,0.6981317007977318,40.0,Z,0,balanced,no_error,0.0,1.0,1024
1,0.6981317007977318,40.0,Z,0,balanced,E1_before_H,0.0,1.0,1024
1,0.6981317007977318,40.0,Z,0,balanced,E2_after_first_H,0.11328125,0.88671875,1024
1,0.6981317007977318,40.0,Z,0,balanced,E3_after_oracle,0.1142578125,0.8857421875,1024
1,0.6981317007977318,40.0,Z,0,balanced,E4_after_final_H,0.0,1.0,1024
1,0.8726646259971648,50.0,X,0,constant_0,no_error,1.0,1.0,1024
1,0.8726646259971648,50.0,X,0,constant_0,E1_before_H,0.8115234375,0.8115234375,1024
1,0.8726646259971648,50.0,X,0,constant_0,E2_after_first_H,1.0,1.0,1024
1,0.8726646259971648,50.0,X,0,constant_0,E3_after_oracle,1.0,1.0,1024
1,0.8726646259971648,50.0,X,0,constant_0,E4_after_final_H,0.845703125,0.845703125,1024
1,0.8726646259971648,50.0,X,0,constant_1,no_error,1.0,1.0,1024
1,0.8726646259971648,50.0,X,0,constant_1,E1_before_H,0.8291015625,0.8291015625,1024
1,0.8726646259971648,50.0,X,0,constant_1,E2_after_first_H,1.0,1.0,1024
1,0.8726646259971648,50.0,X,0,constant_1,E3_after_oracle,1.0,1.0,1024
1,0.8726646259971648,50.0,X,0,constant_1,E4_after_final_H,0.8115234375,0.8115234375,1024
1,0.8726646259971648,50.0,X,0,balanced,no_error,0.0,1.0,1024
1,0.8726646259971648,50.0,X,0,balanced,E1_before_H,0.1953125,0.8046875,1024
1,0.8726646259971648,50.0,X,0,balanced,E2_after_first_H,0.0,1.0,1024
1,0.8726646259971648,50.0,X,0,balanced,E3_after_oracle,0.0,1.0,1024
1,0.8726646259971648,50.0,X,0,balanced,E4_after_final_H,0.189453125,0.810546875,1024
1,0.8726646259971648,50.0,Y,0,constant_0,no_error,1.0,1.0,1024
1,0.8726646259971648,50.0,Y,0,constant_0,E1_before_H,0.8125,0.8125,1024
1,0.8726646259971648,50.0,Y,0,constant_0,E2_after_first_H,0.8154296875,0.8154296875,1024
1,0.8726646259971648,50.0,Y,0,constant_0,E3_after_oracle,0.826171875,0.826171875,1024
1,0.8726646259971648,50.0,Y,0,constant_0,E4_after_final_H,0.814453125,0.814453125,1024
1,0.8726646259971648,50.0,Y,0,constant_1,no_error,1.0,1.0,1024
1,0.8726646259971648,50.0,Y,0,constant_1,E1_before_H,0.8134765625,0.8134765625,1024
1,0.8726646259971648,50.0,Y,0,constant_1,E2_after_first_H,0.826171875,0.826171875,1024
1,0.8726646259971648,50.0,Y,0,constant_1,E3_after_oracle,0.8095703125,0.8095703125,1024
1,0.8726646259971648,50.0,Y,0,constant_1,E4_after_final_H,0.796875,0.796875,1024
1,0.8726646259971648,50.0,Y,0,balanced,no_error,0.0,1.0,1024
1,0.8726646259971648,50.0,Y,0,balanced,E1_before_H,0.1748046875,0.8251953125,1024
1,0.8726646259971648,50.0,Y,0,balanced,E2_after_first_H,0.162109375,0.837890625,1024
