n,theta_rad,theta_deg,axis,target_qubit,error_position,average_success,average_std_error,shots
1,0.12217304763960307,7.0,X,0,no_error,1.0,0.0,1024
1,0.12217304763960307,7.0,Y,0,E1_before_H,0.994140625,0.002361897723161642,1024
1,0.12217304763960307,7.0,Y,0,E2_after_first_H,0.9964192708333334,0.0018179187963891172,1024
1,0.12217304763960307,7.0,Y,0,E3_after_oracle,0.9983723958333334,0.001245174231232681,1024
1,0.12217304763960307,7.0,Y,0,E4_after_final_H,0.9967447916666666,0.0017490057711678853,1024
1,0.12217304763960307,7.0,Y,0,no_error,1.0,0.0,1024
1,0.12217304763960307,7.0,Z,0,E1_before_H,1.0,0.0,1024
1,0.12217304763960307,7.0,Z,0,E2_after_first_H,0.9967447916666666,0.0016833744539575754,1024
1,0.12217304763960307,7.0,Z,0,E3_after_oracle,0.9967447916666666,0.0017757530772589004,1024
1,0.12217304763960307,7.0,Z,0,E4_after_final_H,1.0,0.0,1024
1,0.12217304763960307,7.0,Z,0,no_error,1.0,0.0,1024
1,0.13962634015954636,8.0,X,0,E1_before_H,0.9944661458333334,0.0021834910599532846,1024
1,0.13962634015954636,8.0,X,0,E2_after_first_H,1.0,0.0,1024
1,0.13962634015954636,8.0,X,0,E3_after_oracle,1.0,0.0,1024
1,0.13962634015954636,8.0,X,0,E4_after_final_H,0.9957682291666666,0.0019842826281608592,1024
1,0.13962634015954636,8.0,X,0,no_error,1.0,0.0,1024
1,0.13962634015954636,8.0,Y,0,E1_before_H,0.9951171875,0.002113225093736779,1024
1,0.13962634015954636,8.0,Y,0,E2_after_first_H,0.9944661458333334,0.002227188180385263,1024
1,0.13962634015954636,8.0,Y,0,E3_after_oracle,0.99609375,0.0019210047154387753,1024
1,0.13962634015954636,8.0,Y,0,E4_after_final_H,0.9970703125,0.0016726671582092424,1024
1,0.13962634015954636,8.0,Y,0,no_error,1.0,0.0,1024
1,0.13962634015954636,8.0,Z,0,E1_before_H,1.0,0.0,1024
1,0.13962634015954636,8.0,Z,0,E2_after_first_H,0.9967447916666666,0.0017148328773394592,1024
1,0.13962634015954636,8.0,Z,0,E3_after_oracle,0.9967447916666666,0.0017490057711678853,1024
1,0.13962634015954636,8.0,Z,0,E4_after_final_H,1.0,0.0,1024
1,0.13962634015954636,8.0,Z,0,no_error,1.0,0.0,1024
1,0.15707963267948966,9.0,X,0,E1_before_H,0.99609375,0.0018334291131253623,1024
1,0.15707963267948966,9.0,X,0,E2_after_first_H,1.0,0.0,1024
1,0.15707963267948966,9.0,X,0,E3_after_oracle,1.0,0.0,1024
1,0.15707963267948966,9.0,X,0,E4_after_final_H,0.9944661458333334,0.002303087759232141,1024
1,0.15707963267948966,9.0,X,0,no_error,1.0,0.0,1024
1,0.15707963267948966,9.0,Y,0,E1_before_H,0.99609375,0.0018464898133619216,1024
1,0.15707963267948966,9.0,Y,0,E2_after_first_H,0.9934895833333334,0.002483985599813228,1024
1,0.15707963267948966,9.0,Y,0,E3_after_oracle,0.9947916666666666,0.0022472354342474676,1024
1,0.15707963267948966,9.0,Y,0,E4_after_final_H,0.9954427083333334,0.0019786807513052372,1024
1,0.15707963267948966,9.0,Y,0,no_error,1.0,0.0,1024
1,0.15707963267948966,9.0,Z,0,E1_before_H,1.0,0.0,1024
1,0.15707963267948966,9.0,Z,0,E2_after_first_H,0.9928385416666666,0.002615477335490853,1024
1,0.15707963267948966,9.0,Z,0,E3_after_oracle,0.9921875,0.0026878877518616705,1024
1,0.15707963267948966,9.0,Z,0,E4_after_final_H,1.0,0.0,1024
1,0.15707963267948966,9.0,Z,0,no_error,1.0,0.0,1024
1,0.17453292519943295,10.0,X,0,E1_before_H,0.9934895833333334,0.002375937209714724,1024
1,0.17453292519943295,10.0,X,0,E2_after_first_H,1.0,0.0,1024
1,0.17453292519943295,10.0,X,0,E3_after_oracle,1.0,0.0,1024
1,0.17453292519943295,10.0,X,0,E4_after_final_H,0.9925130208333334,0.0026925151507151864,1024
1,0.17453292519943295,10.0,X,0,no_error,1.0,0.0,1024
1,0.17453292519943295,10.0,Y,0,E1_before_H,0.9944661458333334,0.002271799207700749,1024
1,0.17453292519943295,10.0,Y,0,E2_after_first_H,0.9905598958333334,0.0030209587395754966,1024
1,0.17453292519943295,10.0,Y,0,E3_after_oracle,0.9918619791666666,0.0027859448784599817,1024
1,0.17453292519943295,10.0,Y,0,E4_after_final_H,0.9947916666666666,0.0022398098465100567,1024
1,0.17453292519943295,10.0,Y,0,no_error,1.0,0.0,1024
1,0.17453292519943295,10.0,Z,0,E1_before_H,1.0,0.0,1024
1,0.17453292519943295,10.0,Z,0,E2_after_first_H,0.9889322916666666,0.0032583299354283003,1024
1,0.17453292519943295,10.0,Z,0,E3_after_oracle,0.9928385416666666,0.00255960222719242,1024
1,0.17453292519943295,10.0,Z,0,E4_after_final_H,1.0,0.0,1024
1,0.17453292519943295,10.0,Z,0,no_error,1.0,0.0,1024
1,0.19198621771937624,11.0,X,0,E1_before_H,0.9889322916666666,0.003264372763519673,1024
1,0.19198621771937624,11.0,X,0,E2_after_first_H,1.0,0.0,1024
1,0.19198621771937624,11.0,X,0,E3_after_oracle,1.0,0.0,1024
1,0.19198621771937624,11.0,X,0,E4_after_final_H,0.9938151041666666,0.002241392867283182,1024
1,0.19198621771937624,11.0,X,0,no_error,1.0,0.0,1024
1,0.19198621771937624,11.0,Y,0,E1_before_H,0.9915364583333334,0.002849222791182065,1024
1,0.19198621771937624,11.0,Y,0,E2_after_first_H,0.9915364583333334,0.0028242721043446628,1024
1,0.19198621771937624,11.0,Y,0,E3_after_oracle,0.9892578125,0.0032062428070413693,1024
1,0.19198621771937624,11.0,Y,0,E4_after_final_H,0.9915364583333334,0.002849222791182065,1024
1,0.19198621771937624,11.0,Y,0,no_error,1.0,0.0,1024
1,0.19198621771937624,11.0,Z,0,E1_before_H,1.0,0.0,1024
1,0.19198621771937624,11.0,Z,0,E2_after_first_H,0.9908854166666666,0.0029515704254826115,1024
1,0.19198621771937624,11.0,Z,0,E3_after_oracle,0.9912109375,0.002908032755111567,1024
1,0.19198621771937624,11.0,Z,0,E4_after_final_H,1.0,0.0,1024
1,0.19198621771937624,11.0,Z,0,no_error,1.0,0.0,1024
1,0.20943951023931956,12.000000000000002,X,0,E1_before_H,0.9879557291666666,0.003404459225731796,1024
1,0.20943951023931956,12.000000000000002,X,0,E2_after_first_H,1.0,0.0,1024
1,0.20943951023931956,12.000000000000002,X,0,E3_after_oracle,1.0,0.0,1024
1,0.20943951023931956,12.000000000000002,X,0,E4_after_final_H,0.990234375,0.003070426128936462,1024
1,0.20943951023931956,12.000000000000002,X,0,no_error,1.0,0.0,1024
1,0.20943951023931956,12.000000000000002,Y,0,E1_before_H,0.9889322916666666,0.003264372763519673,1024
1,0.20943951023931956,12.000000000000002,Y,0,E2_after_first_H,0.9915364583333334,0.002849222791182065,1024
1,0.20943951023931956,12.000000000000002,Y,0,E3_after_oracle,0.9876302083333334,0.0034200459493915363,1024
1,0.20943951023931956,12.000000000000002,Y,0,E4_after_final_H,0.9850260416666666,0.0037890480884061064,1024
1,0.20943951023931956,12.000000000000002,Y,0,no_error,1.0,0.0,1024
1,0.20943951023931956,12.000000000000002,Z,0,E1_before_H,1.0,0.0,1024
1,0.20943951023931956,12.000000000000002,Z,0,E2_after_first_H,0.9840494791666666,0.003914710716911441,1024
1,0.20943951023931956,12.000000000000002,Z,0,E3_after_oracle,0.9879557291666666,0.003406232269715953,1024
1,0.20943951023931956,12.000000000000002,Z,0,E4_after_final_H,1.0,0.0,1024
1,0.20943951023931956,12.000000000000002,Z,0,no_error,1.0,0.0,1024
1,0.22689280275926285,13.0,X,0,E1_before_H,0.9866536458333334,0.0035709933430654573,1024
